Brand,SubBrand,Arcsoft SDK,Face++ SDK,SenseTime SDK,Biometric SensorTech SDK,System Face App
asus,asus_ai2203,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_ai2205,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_ai2302,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_ai2401,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i001_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i002d,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i003_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i004d,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i005_1,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i006d,,,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i007_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_i01wd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_p00j,,,,,
asus,asus_x00hd,,,,,
asus,asus_x00id,,,,,
asus,asus_x00ld_1,,,,,
asus,asus_x00pd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_x00qd,,system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_x00rd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_x00td,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_x01a_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_x01bd,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
asus,asus_z00e_2,,,,,
asus,asus_z01h_1,,,,,
asus,asus_z01kd_1,,,,,
asus,asus_z01m_1,,,,,
asus,asus_z01qd_1,,system/system/app/AsusFaceUnlockService/lib/arm64/libMegviiUnlock.so; system/system/priv-app/SmartReading/lib/arm64/libMegviiUnlock.so,,,system/system/app/AsusFaceUnlockService/AsusFaceUnlockService.apk
