Brand,SubBrand
daria,zahedan
deutschetelekom,cheetah
deutschetelekom,jaguar
deutschetelekom,leopard
deutschetelekom,lion
deutschetelekom,puma
deutschetelekom,tiger
gigaset,gs5
gigaset,gx4_pro
lava,lxx503
lava,lxx504
lava,lxx518
lava,lzx407
samsung,a14m
t-mobile,bethpage
visible,wtvis01
